ID_Club,ID_Liga,POS,Club,PTS_2020-2021,PTS_2021-2022,PTS_2022-2023,PTS_2023-2024,P_2020-2021,P_2021-2022,P_2022-2023,P_2023-2024,W_2020-2021,W_2021-2022,W_2022-2023,W_2023-2024,D_2020-2021,D_2021-2022,D_2022-2023,D_2023-2024,L_2020-2021,L_2021-2022,L_2022-2023,L_2023-2024,GF_2020-2021,GF_2021-2022,GF_2022-2023,GF_2023-2024,GA_2020-2021,GA_2021-2022,GA_2022-2023,GA_2023-2024,GD_2020-2021,GD_2021-2022,GD_2022-2023,GD_2023-2024,AVG
1,2,1,Augsburg,36,38,34,39,34,34,34,34,24,24,21,28,6,5,8,6,4,5,5,0,99,97,92,89,44,37,38,24,55,60,54,65,37
2,2,2,Leverkusen,52,64,50,90,34,34,34,34,19,22,22,23,8,3,5,4,7,9,7,7,60,85,83,78,32,52,44,39,28,33,39,39,64
3,2,3,Bayern,78,77,71,72,34,34,34,34,20,19,20,23,4,7,6,3,10,8,8,8,75,80,64,94,46,47,41,45,29,33,23,49,75
4,2,4,Bochum,0,42,35,33,34,34,34,34,17,17,18,19,10,7,8,8,7,10,8,7,61,72,51,77,37,37,38,39,24,35,13,38,28
5,2,5,Dortmund,64,69,71,63,34,34,34,34,16,16,17,18,12,9,8,9,6,9,9,7,69,50,51,68,53,44,44,43,16,6,7,25,67
6,2,6,M̦nchengladbach,49,45,43,34,34,34,34,34,14,15,14,11,10,10,8,14,10,9,12,9,53,58,57,51,39,46,49,50,14,12,8,1,43
7,2,7,Eintracht Frankfurt,60,42,50,47,34,34,34,34,12,14,13,13,14,10,11,7,8,10,10,14,50,52,58,66,43,49,52,66,7,3,6,0,50
8,2,8,Freiburg,45,55,59,42,34,34,34,34,13,13,13,10,10,7,10,12,11,14,11,12,64,50,57,50,56,45,48,55,8,5,9,-5,50
9,2,9,Heidenheim,0,0,0,42,34,34,34,34,12,13,12,11,9,7,10,9,13,14,12,14,56,58,54,48,55,60,55,54,1,-2,-1,-6,11
10,2,10,Hoffenheim,43,45,36,46,34,34,34,34,12,12,11,11,9,9,10,9,13,13,13,14,52,54,52,45,52,61,55,58,0,-7,-3,-13,43
11,2,11,Holstein Kiel,0,0,0,0,34,34,34,34,11,10,10,10,10,12,12,9,13,12,12,15,52,45,49,50,54,49,54,60,-2,-4,-5,-10,0
12,2,12,Mainz 05,39,46,46,35,34,34,34,34,10,12,10,10,9,6,6,7,15,16,18,17,39,43,48,41,56,54,57,56,-17,-11,-9,-15,42
13,2,13,Leipzig,65,58,66,65,34,34,34,34,10,12,10,7,6,6,6,14,18,16,18,13,36,38,51,39,54,52,64,51,-18,-14,-13,-12,64
14,2,14,St. Pauli,0,0,0,0,34,34,34,34,8,10,10,7,11,8,5,13,15,16,19,14,41,39,40,56,52,56,72,67,-11,-17,-32,-11,0
15,2,15,VfB,45,33,33,73,34,34,34,34,9,7,9,9,8,12,7,6,17,15,18,19,26,41,42,33,52,59,63,58,-26,-18,-21,-25,46
16,2,16,Union Berlin,50,57,62,33,34,34,34,34,8,9,7,7,9,6,12,12,17,19,15,15,34,37,45,42,60,71,57,74,-26,-34,-12,-32,51
17,2,17,Bremen,31,0,36,42,34,34,34,34,7,5,7,5,10,13,10,12,17,16,17,17,36,27,35,28,57,53,71,60,-21,-26,-36,-32,27
18,2,18,Wolfsburg,61,42,49,37,34,34,34,34,3,3,7,3,7,9,8,8,24,22,19,23,25,28,42,30,86,82,69,86,-61,-54,-27,-56,47